Recipe Name,Ingredients,Main Vegetable,Cuisine,Cooking Method
bell pepper Bake,"bake bell pepper, mushroom, potato, tomato, garlic, olive oil",bell pepper,French,bake
broccoli Boil,"boil broccoli, potato, peas, tomato, tomato, lemon",broccoli,Mediterranean,boil
zucchini Saute,"saute zucchini, mushroom, tomato, olive oil",zucchini,Mediterranean,saute
cauliflower Boil,"boil cauliflower, bell pepper, carrot, onion, butter, thyme",cauliflower,French,boil
potato Soup,"soup potato, peas, onion, salsa, corn",potato,Mexican,soup
carrot Curry,"curry carrot, zucchini, tomato, peas, garlic, feta",carrot,Mediterranean,curry
carrot Stir Fry,"stir fry carrot, broccoli, cheddar, cilantro",carrot,Mexican,stir fry
garlic Bake,"bake garlic, eggplant, cauliflower, cabbage, chili, ginger",garlic,Chinese,bake
onion Roast,"roast onion, cauliflower, bell pepper, garlic, cream",onion,French,roast
zucchini Bake,"bake zucchini, cabbage, chili, fish sauce",zucchini,Thai,bake
carrot Boil,"boil carrot, mushroom, potato, salsa, beans",carrot,Mexican,boil
cauliflower Boil,"boil cauliflower, spinach, bell pepper, garam masala, turmeric",cauliflower,Indian,boil
tomato Roast,"roast tomato, zucchini, ginger, turmeric",tomato,Indian,roast
zucchini Curry,"curry zucchini, spinach, onion, onion, thyme",zucchini,French,curry
bell pepper Stir Fry,"stir fry bell pepper, mushroom, broccoli, eggplant, garlic, chili",bell pepper,Thai,stir fry
cabbage Boil,"boil cabbage, peas, corn, avocado",cabbage,Mexican,boil
potato Boil,"boil potato, bell pepper, cabbage, mushroom, mozzarella, tomato sauce",potato,Italian,boil
bell pepper Curry,"curry bell pepper, zucchini, garlic, eggplant, lemon, olive oil",bell pepper,Mediterranean,curry
carrot Saute,"saute carrot, spinach, zucchini, onion, soy sauce, ginger",carrot,Chinese,saute
spinach Roast,"roast spinach, garlic, potato, bell pepper, lemongrass, ginger",spinach,Thai,roast
zucchini Curry,"curry zucchini, spinach, carrot, cauliflower, garlic, lemongrass",zucchini,Thai,curry
potato Boil,"boil potato, mushroom, broccoli, ginger, chili",potato,Indian,boil
eggplant Grill,"grill eggplant, zucchini, garlic, coconut milk, garlic",eggplant,Thai,grill
tomato Bake,"bake tomato, cauliflower, cabbage, garlic, tomato, feta",tomato,Mediterranean,bake
carrot Roast,"roast carrot, bell pepper, cauliflower, coriander, garam masala",carrot,Indian,roast
garlic Boil,"boil garlic, bell pepper, potato, garlic, spring onion",garlic,Chinese,boil
eggplant Curry,"curry eggplant, cabbage, zucchini, mushroom, chili, coconut milk",eggplant,Thai,curry
zucchini Grill,"grill zucchini, mushroom, broccoli, chili, fish sauce",zucchini,Thai,grill
broccoli Boil,"boil broccoli, potato, bacon, cream",broccoli,American,boil
peas Grill,"grill peas, tomato, tomato sauce, oregano",peas,Italian,grill
mushroom Boil,"boil mushroom, peas, ginger, chili",mushroom,Indian,boil
peas Saute,"saute peas, cabbage, bell pepper, ginger, cumin",peas,Indian,saute
peas Soup,"soup peas, garlic, zucchini, thyme, cream",peas,French,soup
zucchini Saute,"saute zucchini, peas, cauliflower, cabbage, onion, garlic",zucchini,French,saute
broccoli Boil,"boil broccoli, potato, carrot, garlic, ginger, lemongrass",broccoli,Thai,boil
peas Soup,"soup peas, broccoli, eggplant, cilantro, beans",peas,Mexican,soup
carrot Curry,"curry carrot, garlic, olive oil, parmesan",carrot,Italian,curry
zucchini Bake,"bake zucchini, bell pepper, broccoli, mushroom, oregano, mozzarella",zucchini,Italian,bake
carrot Soup,"soup carrot, mushroom, cauliflower, olive oil, tomato",carrot,Mediterranean,soup
broccoli Curry,"curry broccoli, zucchini, coconut milk, chili",broccoli,Thai,curry
tomato Saute,"saute tomato, onion, spinach, peas, thyme, olive oil",tomato,French,saute
spinach Stir Fry,"stir fry spinach, cabbage, mushroom, thyme, cream",spinach,French,stir fry
mushroom Roast,"roast mushroom, bell pepper, turmeric, ginger",mushroom,Indian,roast
onion Stir Fry,"stir fry onion, cauliflower, zucchini, spinach, bacon, onion",onion,American,stir fry
cabbage Soup,"soup cabbage, eggplant, avocado, corn",cabbage,Mexican,soup
zucchini Stir Fry,"stir fry zucchini, broccoli, spinach, basil, tomato sauce",zucchini,Italian,stir fry
bell pepper Bake,"bake bell pepper, broccoli, potato, cauliflower, fish sauce, garlic",bell pepper,Thai,bake
garlic Saute,"saute garlic, bell pepper, cheddar, beans",garlic,Mexican,saute
zucchini Stir Fry,"stir fry zucchini, spinach, broccoli, cauliflower, tomato, lemon",zucchini,Mediterranean,stir fry
garlic Roast,"roast garlic, tomato, carrot, cauliflower, ginger, spring onion",garlic,Chinese,roast
garlic Saute,"saute garlic, carrot, tomato, mushroom, cumin, turmeric",garlic,Indian,saute
spinach Boil,"boil spinach, cauliflower, tomato, cumin, ginger",spinach,Indian,boil
onion Stir Fry,"stir fry onion, peas, bacon, butter",onion,American,stir fry
spinach Stir Fry,"stir fry spinach, eggplant, potato, tomato, feta",spinach,Mediterranean,stir fry
tomato Boil,"boil tomato, potato, peas, cauliflower, olive oil, tomato sauce",tomato,Italian,boil
cabbage Bake,"bake cabbage, broccoli, zucchini, mozzarella, parmesan",cabbage,Italian,bake
cabbage Saute,"saute cabbage, cauliflower, olive oil, garlic",cabbage,French,saute
zucchini Roast,"roast zucchini, peas, cabbage, mushroom, butter, tomato",zucchini,American,roast
garlic Grill,"grill garlic, cauliflower, olive oil, garlic",garlic,Mediterranean,grill
broccoli Boil,"boil broccoli, eggplant, onion, lemongrass, chili",broccoli,Thai,boil
potato Grill,"grill potato, bell pepper, garlic, cabbage, tomato, lemon",potato,Mediterranean,grill
spinach Curry,"curry spinach, cabbage, broccoli, mushroom, garlic, spring onion",spinach,Chinese,curry
carrot Roast,"roast carrot, tomato, zucchini, broccoli, ginger, garlic",carrot,Chinese,roast
potato Bake,"bake potato, broccoli, carrot, olive oil, basil",potato,Italian,bake
spinach Roast,"roast spinach, carrot, zucchini, lemon, olive oil",spinach,Mediterranean,roast
eggplant Stir Fry,"stir fry eggplant, potato, onion, carrot, olive oil, thyme",eggplant,French,stir fry
broccoli Grill,"grill broccoli, onion, spinach, garlic, onion",broccoli,French,grill
spinach Soup,"soup spinach, peas, broccoli, spring onion, garlic",spinach,Chinese,soup
cabbage Stir Fry,"stir fry cabbage, tomato, herbs, olive oil",cabbage,Mediterranean,stir fry
broccoli Boil,"boil broccoli, eggplant, ginger, garlic",broccoli,Chinese,boil
cabbage Soup,"soup cabbage, potato, peas, bacon, tomato",cabbage,American,soup
cabbage Boil,"boil cabbage, bell pepper, potato, chili, fish sauce",cabbage,Thai,boil
onion Roast,"roast onion, zucchini, peas, broccoli, chili, spring onion",onion,Chinese,roast
broccoli Boil,"boil broccoli, tomato, garam masala, ginger",broccoli,Indian,boil
cabbage Curry,"curry cabbage, zucchini, garlic, mushroom, cumin, turmeric",cabbage,Indian,curry
mushroom Bake,"bake mushroom, spinach, carrot, cauliflower, onion, cheddar",mushroom,American,bake
spinach Boil,"boil spinach, eggplant, olive oil, oregano",spinach,Italian,boil
spinach Boil,"boil spinach, eggplant, carrot, cilantro, avocado",spinach,Mexican,boil
tomato Grill,"grill tomato, eggplant, spring onion, sesame oil",tomato,Chinese,grill
garlic Saute,"saute garlic, mushroom, bell pepper, onion, ginger, soy sauce",garlic,Chinese,saute
zucchini Curry,"curry zucchini, tomato, carrot, cabbage, salsa, avocado",zucchini,Mexican,curry
tomato Boil,"boil tomato, mushroom, avocado, salsa",tomato,Mexican,boil
cabbage Soup,"soup cabbage, broccoli, garlic, cilantro, salsa",cabbage,Mexican,soup
mushroom Saute,"saute mushroom, bell pepper, tomato, broccoli, lemongrass, fish sauce",mushroom,Thai,saute
potato Soup,"soup potato, zucchini, ginger, garlic",potato,Thai,soup
cauliflower Bake,"bake cauliflower, peas, olive oil, tomato sauce",cauliflower,Italian,bake
peas Curry,"curry peas, mushroom, soy sauce, ginger",peas,Chinese,curry
peas Bake,"bake peas, spinach, zucchini, mushroom, garlic, butter",peas,French,bake
peas Curry,"curry peas, cauliflower, cheddar, cilantro",peas,Mexican,curry
bell pepper Bake,"bake bell pepper, cabbage, tomato, lemon",bell pepper,Mediterranean,bake
cauliflower Curry,"curry cauliflower, peas, cabbage, carrot, cilantro, beans",cauliflower,Mexican,curry
tomato Curry,"curry tomato, cauliflower, bell pepper, mozzarella, parmesan",tomato,Italian,curry
garlic Boil,"boil garlic, spinach, bacon, cheddar",garlic,American,boil
zucchini Grill,"grill zucchini, eggplant, oregano, olive oil",zucchini,Italian,grill
garlic Stir Fry,"stir fry garlic, eggplant, garlic, spring onion",garlic,Chinese,stir fry
bell pepper Saute,"saute bell pepper, cabbage, peas, potato, basil, mozzarella",bell pepper,Italian,saute
bell pepper Bake,"bake bell pepper, spinach, potato, tomato, thyme, onion",bell pepper,French,bake
cabbage Roast,"roast cabbage, onion, onion, butter",cabbage,American,roast
spinach Bake,"bake spinach, zucchini, coconut milk, fish sauce",spinach,Thai,bake
mushroom Soup,"soup mushroom, eggplant, lemon, garlic",mushroom,Mediterranean,soup
tomato Bake,"bake tomato, potato, eggplant, mushroom, spring onion, chili",tomato,Chinese,bake
cauliflower Soup,"soup cauliflower, tomato, soy sauce, ginger",cauliflower,Chinese,soup
potato Saute,"saute potato, cauliflower, cilantro, salsa",potato,Mexican,saute
zucchini Soup,"soup zucchini, bell pepper, corn, avocado",zucchini,Mexican,soup
peas Stir Fry,"stir fry peas, bell pepper, cauliflower, zucchini, cream, cheddar",peas,American,stir fry
peas Soup,"soup peas, potato, basil, tomato sauce",peas,Italian,soup
cauliflower Boil,"boil cauliflower, eggplant, cabbage, onion, avocado, beans",cauliflower,Mexican,boil
zucchini Soup,"soup zucchini, mushroom, broccoli, carrot, basil, olive oil",zucchini,Italian,soup
broccoli Soup,"soup broccoli, tomato, potato, cream, bacon",broccoli,American,soup
tomato Grill,"grill tomato, peas, mozzarella, oregano",tomato,Italian,grill
onion Curry,"curry onion, cauliflower, cabbage, beans, cilantro",onion,Mexican,curry
carrot Boil,"boil carrot, bell pepper, cauliflower, thyme, garlic",carrot,French,boil
carrot Boil,"boil carrot, tomato, peas, thyme, garlic",carrot,French,boil
zucchini Bake,"bake zucchini, spinach, cauliflower, cheddar, avocado",zucchini,Mexican,bake
bell pepper Bake,"bake bell pepper, potato, spinach, garlic, sesame oil",bell pepper,Chinese,bake
peas Roast,"roast peas, broccoli, parmesan, oregano",peas,Italian,roast
carrot Boil,"boil carrot, broccoli, eggplant, zucchini, cheddar, beans",carrot,Mexican,boil
carrot Stir Fry,"stir fry carrot, bell pepper, eggplant, tomato, ginger, lemongrass",carrot,Thai,stir fry
potato Boil,"boil potato, tomato, cauliflower, mozzarella, tomato sauce",potato,Italian,boil
broccoli Curry,"curry broccoli, garlic, chili, garlic",broccoli,Chinese,curry
mushroom Boil,"boil mushroom, zucchini, peas, spinach, lemongrass, garlic",mushroom,Thai,boil
mushroom Boil,"boil mushroom, potato, cream, thyme",mushroom,French,boil
cabbage Roast,"roast cabbage, mushroom, carrot, bell pepper, herbs, tomato",cabbage,Mediterranean,roast
broccoli Grill,"grill broccoli, cabbage, potato, carrot, thyme, olive oil",broccoli,French,grill
zucchini Roast,"roast zucchini, cauliflower, parmesan, oregano",zucchini,Italian,roast
spinach Bake,"bake spinach, potato, peas, oregano, basil",spinach,Italian,bake
tomato Grill,"grill tomato, carrot, eggplant, butter, onion",tomato,French,grill
peas Saute,"saute peas, tomato, cumin, garam masala",peas,Indian,saute
garlic Saute,"saute garlic, peas, zucchini, onion, butter",garlic,French,saute
zucchini Stir Fry,"stir fry zucchini, onion, herbs, garlic",zucchini,Mediterranean,stir fry
mushroom Roast,"roast mushroom, tomato, garlic, onion, ginger, turmeric",mushroom,Indian,roast
peas Curry,"curry peas, garlic, butter, garlic",peas,French,curry
cauliflower Stir Fry,"stir fry cauliflower, potato, carrot, garlic, onion",cauliflower,French,stir fry
carrot Grill,"grill carrot, spinach, soy sauce, sesame oil",carrot,Chinese,grill
broccoli Soup,"soup broccoli, carrot, turmeric, ginger",broccoli,Indian,soup
broccoli Roast,"roast broccoli, cauliflower, herbs, feta",broccoli,Mediterranean,roast
peas Soup,"soup peas, tomato, eggplant, coriander, chili",peas,Indian,soup
bell pepper Curry,"curry bell pepper, carrot, olive oil, parmesan",bell pepper,Italian,curry
mushroom Bake,"bake mushroom, broccoli, olive oil, tomato",mushroom,Mediterranean,bake
spinach Roast,"roast spinach, cabbage, potato, mushroom, avocado, corn",spinach,Mexican,roast
carrot Roast,"roast carrot, cauliflower, eggplant, onion, mozzarella, tomato sauce",carrot,Italian,roast
cauliflower Roast,"roast cauliflower, zucchini, fish sauce, ginger",cauliflower,Thai,roast
potato Roast,"roast potato, spinach, bell pepper, cream, onion",potato,American,roast
onion Curry,"curry onion, peas, potato, beans, avocado",onion,Mexican,curry
onion Roast,"roast onion, peas, garlic, fish sauce",onion,Thai,roast
peas Curry,"curry peas, eggplant, zucchini, oregano, olive oil",peas,Italian,curry
eggplant Grill,"grill eggplant, garlic, zucchini, chili, coconut milk",eggplant,Thai,grill
bell pepper Saute,"saute bell pepper, eggplant, cabbage, coriander, garam masala",bell pepper,Indian,saute
peas Saute,"saute peas, carrot, turmeric, coriander",peas,Indian,saute
broccoli Curry,"curry broccoli, zucchini, mushroom, garlic, butter",broccoli,French,curry
peas Saute,"saute peas, tomato, broccoli, soy sauce, garlic",peas,Chinese,saute
carrot Roast,"roast carrot, peas, broccoli, spinach, mozzarella, oregano",carrot,Italian,roast
broccoli Saute,"saute broccoli, onion, tomato, mozzarella, oregano",broccoli,Italian,saute
onion Grill,"grill onion, broccoli, onion, butter",onion,American,grill
cauliflower Stir Fry,"stir fry cauliflower, zucchini, onion, spring onion, chili",cauliflower,Chinese,stir fry
peas Grill,"grill peas, bell pepper, potato, tomato, salsa, cilantro",peas,Mexican,grill
mushroom Bake,"bake mushroom, cabbage, lemongrass, garlic",mushroom,Thai,bake
eggplant Boil,"boil eggplant, potato, garlic, olive oil",eggplant,Mediterranean,boil
cabbage Stir Fry,"stir fry cabbage, tomato, zucchini, oregano, mozzarella",cabbage,Italian,stir fry
bell pepper Saute,"saute bell pepper, potato, tomato, fish sauce, lemongrass",bell pepper,Thai,saute
bell pepper Boil,"boil bell pepper, mushroom, tomato, eggplant, garlic, herbs",bell pepper,Mediterranean,boil
bell pepper Stir Fry,"stir fry bell pepper, broccoli, zucchini, potato, lemon, tomato",bell pepper,Mediterranean,stir fry
spinach Soup,"soup spinach, cabbage, potato, garlic, olive oil",spinach,French,soup
onion Curry,"curry onion, garlic, beans, cilantro",onion,Mexican,curry
peas Roast,"roast peas, carrot, bell pepper, cream, garlic",peas,French,roast
tomato Saute,"saute tomato, peas, cabbage, olive oil, butter",tomato,French,saute
mushroom Boil,"boil mushroom, eggplant, tomato, broccoli, mozzarella, parmesan",mushroom,Italian,boil
peas Grill,"grill peas, bell pepper, carrot, cauliflower, sesame oil, ginger",peas,Chinese,grill
eggplant Bake,"bake eggplant, mushroom, feta, lemon",eggplant,Mediterranean,bake
tomato Curry,"curry tomato, potato, garlic, onion, garlic",tomato,French,curry
peas Boil,"boil peas, eggplant, cumin, chili",peas,Indian,boil
carrot Soup,"soup carrot, broccoli, potato, olive oil, onion",carrot,French,soup
spinach Saute,"saute spinach, tomato, mushroom, garlic, butter, garlic",spinach,French,saute
peas Grill,"grill peas, broccoli, lemon, tomato",peas,Mediterranean,grill
onion Boil,"boil onion, carrot, garlic, cauliflower, garlic, butter",onion,French,boil
peas Grill,"grill peas, tomato, onion, garlic, chili, soy sauce",peas,Chinese,grill
spinach Saute,"saute spinach, mushroom, cheddar, corn",spinach,Mexican,saute
carrot Saute,"saute carrot, broccoli, peas, olive oil, tomato",carrot,Mediterranean,saute
garlic Grill,"grill garlic, eggplant, onion, thyme, garlic",garlic,French,grill
carrot Saute,"saute carrot, bell pepper, ginger, garam masala",carrot,Indian,saute
peas Roast,"roast peas, cabbage, onion, cream",peas,French,roast
bell pepper Stir Fry,"stir fry bell pepper, cauliflower, onion, mushroom, herbs, olive oil",bell pepper,Mediterranean,stir fry
potato Grill,"grill potato, onion, zucchini, cabbage, fish sauce, ginger",potato,Thai,grill
spinach Stir Fry,"stir fry spinach, carrot, mushroom, coriander, chili",spinach,Indian,stir fry
spinach Boil,"boil spinach, potato, peas, fish sauce, lemongrass",spinach,Thai,boil
cabbage Bake,"bake cabbage, bell pepper, carrot, ginger, sesame oil",cabbage,Chinese,bake
zucchini Bake,"bake zucchini, carrot, cabbage, coriander, cumin",zucchini,Indian,bake
zucchini Curry,"curry zucchini, broccoli, spring onion, ginger",zucchini,Chinese,curry
carrot Soup,"soup carrot, peas, eggplant, garlic, herbs",carrot,Mediterranean,soup
garlic Saute,"saute garlic, zucchini, garlic, ginger",garlic,Chinese,saute
mushroom Bake,"bake mushroom, tomato, chili, ginger",mushroom,Chinese,bake
onion Curry,"curry onion, zucchini, carrot, olive oil, feta",onion,Mediterranean,curry
cabbage Boil,"boil cabbage, cauliflower, bell pepper, mushroom, cream, butter",cabbage,American,boil
onion Curry,"curry onion, carrot, cabbage, lemongrass, coconut milk",onion,Thai,curry
tomato Soup,"soup tomato, mushroom, eggplant, chili, soy sauce",tomato,Chinese,soup
bell pepper Saute,"saute bell pepper, peas, onion, garlic, olive oil",bell pepper,French,saute
peas Grill,"grill peas, mushroom, ginger, coconut milk",peas,Thai,grill
cabbage Soup,"soup cabbage, tomato, spinach, beans, cheddar",cabbage,Mexican,soup
cabbage Grill,"grill cabbage, carrot, cauliflower, cilantro, beans",cabbage,Mexican,grill
cabbage Soup,"soup cabbage, spinach, cauliflower, olive oil, parmesan",cabbage,Italian,soup
zucchini Soup,"soup zucchini, eggplant, onion, avocado, corn",zucchini,Mexican,soup
broccoli Grill,"grill broccoli, garlic, mushroom, potato, garlic, herbs",broccoli,Mediterranean,grill
carrot Soup,"soup carrot, potato, cauliflower, feta, tomato",carrot,Mediterranean,soup
eggplant Curry,"curry eggplant, spinach, cream, thyme",eggplant,French,curry
peas Roast,"roast peas, bell pepper, cream, butter",peas,American,roast
tomato Bake,"bake tomato, spinach, cream, garlic",tomato,French,bake
cauliflower Curry,"curry cauliflower, mushroom, garlic, sesame oil",cauliflower,Chinese,curry
cauliflower Roast,"roast cauliflower, eggplant, peas, mushroom, sesame oil, soy sauce",cauliflower,Chinese,roast
spinach Curry,"curry spinach, bell pepper, basil, olive oil",spinach,Italian,curry
carrot Stir Fry,"stir fry carrot, eggplant, garlic, peas, chili, garam masala",carrot,Indian,stir fry
eggplant Stir Fry,"stir fry eggplant, onion, garlic, coriander, cumin",eggplant,Indian,stir fry
mushroom Curry,"curry mushroom, cauliflower, cabbage, carrot, thyme, garlic",mushroom,French,curry
peas Saute,"saute peas, carrot, fish sauce, coconut milk",peas,Thai,saute
cabbage Roast,"roast cabbage, zucchini, parmesan, olive oil",cabbage,Italian,roast
garlic Roast,"roast garlic, mushroom, bell pepper, avocado, cheddar",garlic,Mexican,roast
potato Saute,"saute potato, bell pepper, spinach, mozzarella, basil",potato,Italian,saute
eggplant Grill,"grill eggplant, mushroom, chili, ginger",eggplant,Chinese,grill
carrot Stir Fry,"stir fry carrot, tomato, peas, olive oil, tomato sauce",carrot,Italian,stir fry
spinach Roast,"roast spinach, cabbage, fish sauce, chili",spinach,Thai,roast
carrot Curry,"curry carrot, onion, peas, coconut milk, ginger",carrot,Thai,curry
potato Stir Fry,"stir fry potato, onion, eggplant, salsa, beans",potato,Mexican,stir fry
peas Boil,"boil peas, spinach, cauliflower, carrot, onion, garlic",peas,French,boil
carrot Boil,"boil carrot, zucchini, spinach, garlic, chili, coriander",carrot,Indian,boil
mushroom Curry,"curry mushroom, eggplant, zucchini, feta, herbs",mushroom,Mediterranean,curry
cabbage Roast,"roast cabbage, bell pepper, peas, cauliflower, tomato, herbs",cabbage,Mediterranean,roast
potato Soup,"soup potato, bell pepper, cabbage, cheddar, salsa",potato,Mexican,soup
carrot Boil,"boil carrot, tomato, potato, peas, chili, spring onion",carrot,Chinese,boil
onion Roast,"roast onion, broccoli, tomato, olive oil, mozzarella",onion,Italian,roast
bell pepper Roast,"roast bell pepper, broccoli, peas, corn, beans",bell pepper,Mexican,roast
potato Curry,"curry potato, zucchini, corn, salsa",potato,Mexican,curry
peas Saute,"saute peas, mushroom, broccoli, tomato, garlic, herbs",peas,Mediterranean,saute
peas Saute,"saute peas, eggplant, ginger, fish sauce",peas,Thai,saute
peas Roast,"roast peas, potato, mushroom, butter, bacon",peas,American,roast
eggplant Stir Fry,"stir fry eggplant, cauliflower, zucchini, cabbage, ginger, cumin",eggplant,Indian,stir fry
eggplant Roast,"roast eggplant, carrot, tomato, spinach, parmesan, tomato sauce",eggplant,Italian,roast
spinach Bake,"bake spinach, onion, olive oil, parmesan",spinach,Italian,bake
cabbage Roast,"roast cabbage, onion, garam masala, chili",cabbage,Indian,roast
tomato Soup,"soup tomato, peas, cauliflower, eggplant, garlic, lemon",tomato,Mediterranean,soup
tomato Saute,"saute tomato, bell pepper, potato, garlic, fish sauce, lemongrass",tomato,Thai,saute
tomato Bake,"bake tomato, onion, carrot, olive oil, herbs",tomato,Mediterranean,bake
garlic Boil,"boil garlic, spinach, broccoli, bell pepper, chili, cumin",garlic,Indian,boil
cauliflower Curry,"curry cauliflower, onion, tomato, garlic, olive oil",cauliflower,French,curry
broccoli Grill,"grill broccoli, tomato, bell pepper, zucchini, lemon, olive oil",broccoli,Mediterranean,grill
onion Curry,"curry onion, potato, salsa, corn",onion,Mexican,curry
garlic Stir Fry,"stir fry garlic, eggplant, ginger, garlic",garlic,Chinese,stir fry
carrot Curry,"curry carrot, garlic, potato, eggplant, ginger, garlic",carrot,Thai,curry
peas Bake,"bake peas, potato, eggplant, carrot, butter, cheddar",peas,American,bake
potato Roast,"roast potato, mushroom, ginger, sesame oil",potato,Chinese,roast
bell pepper Curry,"curry bell pepper, carrot, eggplant, cilantro, avocado",bell pepper,Mexican,curry
bell pepper Soup,"soup bell pepper, spinach, sesame oil, chili",bell pepper,Chinese,soup
mushroom Soup,"soup mushroom, carrot, bell pepper, cauliflower, garlic, ginger",mushroom,Chinese,soup
broccoli Grill,"grill broccoli, garlic, bacon, onion",broccoli,American,grill
garlic Curry,"curry garlic, bell pepper, cheddar, beans",garlic,Mexican,curry
peas Stir Fry,"stir fry peas, spinach, broccoli, mushroom, sesame oil, soy sauce",peas,Chinese,stir fry
broccoli Curry,"curry broccoli, tomato, bell pepper, eggplant, cilantro, cheddar",broccoli,Mexican,curry
bell pepper Bake,"bake bell pepper, garlic, broccoli, cauliflower, cheddar, bacon",bell pepper,American,bake
carrot Curry,"curry carrot, peas, cauliflower, mushroom, olive oil, onion",carrot,French,curry
zucchini Curry,"curry zucchini, garlic, spinach, lemongrass, ginger",zucchini,Thai,curry
zucchini Saute,"saute zucchini, spinach, cabbage, potato, cream, bacon",zucchini,American,saute
carrot Saute,"saute carrot, eggplant, thyme, olive oil",carrot,French,saute
carrot Bake,"bake carrot, mushroom, soy sauce, spring onion",carrot,Chinese,bake
spinach Bake,"bake spinach, tomato, tomato sauce, olive oil",spinach,Italian,bake
eggplant Curry,"curry eggplant, tomato, cumin, turmeric",eggplant,Indian,curry
bell pepper Saute,"saute bell pepper, eggplant, cilantro, beans",bell pepper,Mexican,saute
peas Grill,"grill peas, carrot, mushroom, zucchini, coriander, cumin",peas,Indian,grill
broccoli Saute,"saute broccoli, garlic, bell pepper, zucchini, butter, onion",broccoli,American,saute
onion Grill,"grill onion, cauliflower, bell pepper, olive oil, parmesan",onion,Italian,grill
mushroom Roast,"roast mushroom, eggplant, carrot, potato, salsa, avocado",mushroom,Mexican,roast
eggplant Saute,"saute eggplant, carrot, peas, onion, garlic, spring onion",eggplant,Chinese,saute
onion Stir Fry,"stir fry onion, peas, cabbage, tomato, salsa, cheddar",onion,Mexican,stir fry
